item,co2,unit,category,source
"milk, human",3.15,0.052,food,Existing Dataset
"milk, nfs",3.15,0.001,food,Existing Dataset
"milk, whole",3.15,0.001,food,Existing Dataset
"milk, low sodium, whole",3.15,0.01,food,Existing Dataset
"milk, calcium fortified, whole",3.15,0.001,food,Existing Dataset
"milk, calcium fortified, low fat (1%)",3.15,0.001,food,Existing Dataset
"milk, calcium fortified, fat free (skim)",3.15,0.011,food,Existing Dataset
"milk, reduced fat (2%)",3.15,0.001,food,Existing Dataset
"milk, acidophilus, low fat (1%)",3.15,0.001,food,Existing Dataset
"milk, acidophilus, reduced fat (2%)",3.15,0.001,food,Existing Dataset
"milk, low fat (1%)",3.15,0.001,food,Existing Dataset
"milk, fat free (skim)",3.15,0.002,food,Existing Dataset
"milk, lactose free, low fat (1%)",3.15,0.001,food,Existing Dataset
"milk, lactose free, fat free (skim)",3.15,0.002,food,Existing Dataset
"milk, lactose free, reduced fat (2%)",3.15,0.001,food,Existing Dataset
"milk, lactose free, whole",3.15,0.001,food,Existing Dataset
"buttermilk, fat free (skim)",3.15,0.011,food,Existing Dataset
"buttermilk, low fat (1%)",3.15,0.011,food,Existing Dataset
"buttermilk, reduced fat (2%)",3.15,0.008,food,Existing Dataset
"buttermilk, whole",3.15,0.025,food,Existing Dataset
"goat's milk, whole",3.15,0.046,food,Existing Dataset
"milk, dry, reconstituted, ns as to fat content",3.15,0.013,food,Existing Dataset
"milk, dry, reconstituted, whole",3.15,0.021,food,Existing Dataset
"milk, dry, reconstituted, low fat (1%)",3.15,0.013,food,Existing Dataset
"milk, dry, reconstituted, fat free (skim)",3.15,0.013,food,Existing Dataset
"milk, evaporated, ns as to fat content",3.15,0.016,food,Existing Dataset
"milk, evaporated, whole",3.15,0.016,food,Existing Dataset
"milk, evaporated, reduced fat (2%)",3.15,0.016,food,Existing Dataset
"milk, evaporated, fat free (skim)",3.15,0.016,food,Existing Dataset
"milk, condensed, sweetened",3.15,0.015,food,Existing Dataset
"non-dairy milk, nfs",3.15,0.062,food,Existing Dataset
soy milk,0.98,0.165,food,Existing Dataset
"soy milk, light",0.98,0.086,food,Existing Dataset
"soy milk, nonfat",0.98,0.125,food,Existing Dataset
"soy milk, chocolate",0.98,0.206,food,Existing Dataset
"soy milk, light, chocolate",0.98,0.199,food,Existing Dataset
"soy milk, nonfat, chocolate",0.98,0.199,food,Existing Dataset
"almond milk, sweetened",3.15,0.019,food,Existing Dataset
"almond milk, sweetened, chocolate",3.15,0.03,food,Existing Dataset
"almond milk, unsweetened",3.15,0.02,food,Existing Dataset
